no,domain,site_name,category,relevance,status,contact_url,memo
1,webtan.impress.co.jp,Web担当者Forum,SEOメディア,高,未申請,https://webtan.impress.co.jp/contact,国内最大級のWebマーケ情報メディア
2,ferret-plus.com,ferret,デジタルマーケティングメディア,高,未申請,https://ferret-plus.com/contact,マーケター向け総合メディア
3,liskul.com,LISKUL,Webマーケティングメディア,高,未申請,https://liskul.com/contact,SEO・Web広告情報メディア
4,semlabo.com,SEMラボ,SEO情報メディア,高,未申請,https://semlabo.com/contact,SEO・SEM専門メディア
5,seohacks.net,SEO HACKS,SEOブログ,高,未申請,https://seohacks.net/contact,SEO実践情報ブログ
6,marketingis.jp,マーケティングis,マーケティングメディア,高,未申請,https://marketingis.jp/contact,マーケティング総合情報
7,inboundmarketing.jp,インバウンドマーケティング,コンテンツマーケティング,中,未申請,https://inboundmarketing.jp/contact,インバウンドマーケ情報
8,contentmarketingjp.com,コンテンツマーケティングJP,コンテンツマーケティング,中,未申請,https://contentmarketingjp.com/contact,コンテンツマーケ専門メディア
9,mieruca.com,ミエルカ,SEOツール,高,未申請,https://mieru-ca.com/contact,SEO分析・コンテンツ最適化ツール
10,ginzametrics.com,ギンザメトリクス,SEO計測ツール,高,未申請,https://ginzametrics.com/contact,SEO効果測定プラットフォーム
11,wacul.co.jp,WACUL,マーケティング分析,高,未申請,https://wacul.co.jp/contact,AIマーケティング分析
12,plan-b.co.jp,PLAN-B,SEO会社,高,未申請,https://plan-b.co.jp/contact,SEOコンサルティング会社
13,digitalidentity.co.jp,デジタルアイデンティティ,SEO会社,高,未申請,https://digitalidentity.co.jp/contact,SEO・Webマーケコンサル
14,allegro-inc.com,アレグロマーケティング,Webマーケティング会社,高,未申請,https://allegro-inc.com/contact,Webマーケ支援会社
15,fullspeed.co.jp,フルスピード,ネット広告,中,未申請,https://fullspeed.co.jp/contact,ネット広告・SEO支援
16,navi-plus.co.jp,NaviPlus,マーケティングツール,中,未申請,https://navi-plus.co.jp/contact,EC向けマーケティングツール
17,innovation.co.jp,イノベーション,リード獲得,中,未申請,https://innovation.co.jp/contact,BtoB向けリード獲得支援
18,standard.co.jp,STANDARD,データマーケティング,中,未申請,https://standard.co.jp/contact,データドリブンマーケティング
